Feature,Coefficient,Standard Error,Confidence Interval Lower,Confidence Interval Upper
1 Fatality Rate,0.282829005,1839569.157,-3605489.013,3605489.578
10 Gender Pay Gap,-0.449553292,228780.9996,-448402.969,448402.0699
11 Ratio of each gender in coaching positions,0.869829795,242164.1072,-474632.0586,474633.7983
12 Doping Statistics,-0.697894423,185042.5659,-362677.4627,362676.0669
13 Ease of developing new strategies,-0.788797546,220869.7321,-432897.509,432895.9314
14 Accessibility across different streaming platforms,0.360811403,777748.1193,-1524357.942,1524358.664
15 Movies/documentaries,0.3478957,893420.6082,-1751071.867,1751072.563
2 CO2 footprint,0.308787852,240680.4886,-471724.7806,471725.3982
3 Number of countries playing it,1.076912562,678136.5152,-1329122.069,1329124.223
4 Ratio of Players of each gender,0.442470426,346865.6481,-679843.7352,679844.6201
5 Number of Players,0.284526226,1108277.407,-2172183.518,2172184.087
6 Cost of Equipment for Players,-0.083561747,380934.8525,-746618.675,746618.5079
7 Presence in University Sports,0.323243199,503686.0667,-987206.2269,987206.8734
8 Injury Rate,-0.09129189,1300348.779,-2548636.865,2548636.682
9 Social Media Presence,0.680979163,853055.6986,-1671957.765,1671959.127
Cluster_0,-1.267121601,,,
Cluster_1,0.614627724,,,
Cluster_2,-0.197363538,,,
Cluster_3,0.849821041,,,
Score,0.283692988,9809051.901,-19225388.17,19225388.73
