Feature,Modified Probability
1 Fatality Rate,0.08209426677482969
2 CO2 footprint,0.08181140765370665
3 Number of countries playing it,0.08032597665538796
4 Ratio of Players of each gender,0.08109442927314141
5 Number of Players,0.08000396064591099
6 Cost of Equipment for Players,0.07939869091494843
7 Presence in University Sports,0.0800025449802286
8 Injury Rate,0.07940175477842819
9 Social Media Presence,0.08063534996965126
10 Gender Pay Gap,0.07675100848674452
11 Ratio of each gender in coaching positions,0.08512357179615981
12 Doping Statistics,0.07538222952839324
13 Ease of developing new strategies,0.0780763274262316
14 Accessibility across different streaming platforms,0.08000309800199383
15 Movies/documentaries,0.08000290787632319
Score,0.08095503336124332
Cluster_0,0.07115447236671454
Cluster_1,0.07999778683132482
Cluster_2,0.07999778683132482
Cluster_3,0.07999778683132482
1 Fatality Rate,0.08209426677482969
2 CO2 footprint,0.08181140765370665
3 Number of countries playing it,0.08032597665538796
4 Ratio of Players of each gender,0.08109442927314141
5 Number of Players,0.08000396064591099
6 Cost of Equipment for Players,0.07939869091494843
7 Presence in University Sports,0.0800025449802286
8 Injury Rate,0.07940175477842819
9 Social Media Presence,0.08063534996965126
10 Gender Pay Gap,0.07675100848674452
11 Ratio of each gender in coaching positions,0.08512357179615981
12 Doping Statistics,0.07538222952839324
13 Ease of developing new strategies,0.0780763274262316
14 Accessibility across different streaming platforms,0.08000309800199383
15 Movies/documentaries,0.08000290787632319
Score,0.08095503336124332
Cluster_0,0.07115447236671454
Cluster_1,0.07999778683132482
Cluster_2,0.07999778683132482
Cluster_3,0.07999778683132482
