,https://worldmetrics.org/most-dangerous-sports-ranked-statistics/,,,,,,,,,,,,,,,,,,,
,# per million,1-100 where 1 is lowest emmissions and 100 is highest emissions,,men%:women%,millions,$ per person,,per 1000,1-10 in relation to each other,1-10 where 1 is least and 10 is most,male:female,% found doping,1-5 score,this seems very wrong,this seems very wrong,,,,,
,1 Fatality Rate,2 CO2 footprint,3 Number of countries playing it,4 Ratio of Players of each gender,5 Number of Players,6 Cost of Equipment for Players,7 Presence in University Sports,8 Injury Rate,9 Social Media Presence,10 Gender Pay Gap,11 Ratio of each gender in coaching positions,12 Doping Statistics,13 Ease of developing new strategies,14 Accessibility across different streaming platforms,15 Movies/documentaries??? about the sport in the last 10 years,,,,,
Water Polo,0.75,20,80,1,27,500,300,6,8,5,3,1,2,1,1,,,,,
Ultimate Frisbee,0.25,15,62,2,10,50,300,5,3,3,2,0.5,4,1,0,,,,,
Gaelic Football,0.75,20,35,3,2,200,50,35,2,3,3,1,3,1,0,,,,,
Hurling,0.75,20,15,4,1.5,200,20,40,2,3,3,1,2,1,0,,,,,
Beach Soccer,0.75,15,50,2,20,100,20,7,7,6,2,2,2,1,0,,,,,
Dragon Boat Racing,0.75,35,50,1,15,750,20,3,3,3,2,0.5,3,1,0,,,,,
Tchoukball,0.25,15,15,2,1,200,10,2,1,3,2,0.5,4,1,0,,,,,
Netball,0.25,20,65,3,20,200,1000,7,1,4,3,1,3,1,0,,,,,
Roller Derby,0.25,30,35,4,1,370,100,15,5,4,2,2,4,1,2,,,,,
Baseball,3.5,25,50,2,65,200,1000,7,9,8,9,4,2,5,10,,,,,
Basketball,0.75,25,210,0,450,125,1500,27,9,8,3,3,2,5,10,,,,,
Cricket,0.75,30,130,1,300,350,1000,7,7,7,7,2,3,4,3,,,,,
Field Hockey,0.75,25,110,4,2000,200,500,17,6,5,2,2,2,3,2,,,,,
Flag football,0.25,15,50,3,10,75,200,13,5,5,2,1,2,2,0,,,,,
Football,3.5,30,210,4,4,200,2000,27,7,7,5,2,2,10,20,,,,,
Handball,0.75,20,110,1,50,100,20,13,6,5,4,1,2,2,0,,,,,
Lacrosse,0.75,30,35,3,2,600,500,23,5,5,3,1,3,2,2,,,,,
Rugby,0.75,25,110,0,10,200,300,50,5,7,4,3,2,4,5,,,,,
Tug of War,0.1,15,60,2,1,50,10,3,4,3,3,1,4,1,0,,,,,
Volleyball,0.25,20,210,2,800,60,1000,7,9,5,2,1,3,4,3,,,,,
Mixed Martial Arts (MMA),11,25,65,1,100,600,50,50,6,7,8,,5,5,8,,,,,
Kickboxing,100,20,90,0,30,200,20,17,4,6,6,7,5,4,4,,,,,
"Martial Arts (Karate, Kung Fu)",0.75,15,110,3,200,200,100,13,5,5,7,1,5,2,10,,,,,
Sumo,0.75,20,25,2,5,300,5,25,1,6,9,1,5,1,1,,,,,
Boxing,160,20,160,0,100,300,200,110,5,7,7,6,5,5,15,,,,,
Judo,0.75,20,110,3,20,130,100,13,4,4,4,2,5,2,2,,,,,
Karate,0.75,15,110,2,100,130,100,15,4,5,6,1,5,2,3,,,,,
Taekwondo,0.75,15,110,1,70,100,100,13,3,5,4,2,5,2,2,,,,,
Wrestling,0.75,20,110,4.5,25,130,500,17,6,6,7,6,5,3,6,,,,,
Table Football (Foosball),0,10,15,3,10,100,10,2,5,3,1,0,3,1,0,,,,,
Billiards (Pool),0,15,55,1,100,300,50,2,7,4,5,0,5,2,2,,,,,
Padel,0.25,20,35,1,10,350,10,7,2,4,2,1,4,2,0,,,,,
Pickleball,0.75,20,35,1,4,100,50,5,5,3,2,0.5,4,2,0,,,,,
Basque Pelota,0.75,25,15,3,2,200,5,13,2,3,3,1,3,1,0,,,,,
Diving,0.75,30,110,2,20,20,100,7,8,4,2,2,5,2,2,,,,,
Fencing,0.25,25,110,2,10,600,50,7,7,4,3,2,4,2,1,,,,,
Badminton,0,20,160,1,200,60,100,7,9,5,3,2,3,3,1,,,,,
Breaking,0,10,55,0,10,100,10,7,6,3,2,0.5,5,1,3,,,,,
Jeu de Paume,0,10,7,3,0.1,600,5,2,2,3,3,1,2,1,0,,,,,
Rackets,0,15,7,0,0.1,70,5,3,4,3,2,1,2,1,0,,,,,
Squash,0,20,110,1,20,200,50,17,4,4,3,2,2,2,2,,,,,
Table Tennis,0,10,110,0,300,100,100,3,4,4,3,2,3,3,2,,,,,
Tennis,0,30,210,2,1000,200,1000,7,8,6,2,4,3,5,6,,,,,
Bowling,0,20,60,3,100,135,50,2,6,4,3,0,4,1,1,,,,,
Darts,0,10,60,2,10,30,10,2,4,4,5,0,5,1,1,,,,,
Mountain Biking,1,35,60,1,40,600,50,20,5,4,3,5,4,2,3,,,,,
"Climbing (Bouldering, Traditional Climbing)",75,35,110,0,20,600,100,10,5,4,3,1,5,2,5,,,,,
Orienteering,0.75,30,35,0,2,60,10,2,5,3,2,0.5,3,1,0,,,,,
Parkour,0.75,15,25,1,5,100,10,40,5,3,3,0.5,5,1,2,,,,,
Skeet Shooting,0,10,45,2,20,600,10,2,2,4,4,1,2,1,0,,,,,
Disc Golf,0,40,40,2,10,60,50,4,2,3,2,0.5,2,1,0,,,,,
Baton Twirling,0,10,25,4,1,30,10,2,1,3,5,0,5,1,0,,,,,
DanceSport (Competitive Dance),0.75,5,55,1,10,300,50,2,4,3,4,0.5,5,1,2,,,,,
Foilboarding (Hydrofoil Surfing),0.75,15,15,3,0.1,1200,5,7,3,3,3,1,3,1,1,,,,,
Sandboarding,0.75,40,15,2,1,100,5,7,3,3,3,0.5,3,1,0,,,,,
Adventure Racing,0.75,20,45,1,1,500,10,15,2,3,2,2,3,1,2,,,,,
Wood Chopping,0.75,45,25,4,1,300,5,13,2,3,3,0,4,1,0,,,,,
Freediving,75,30,35,1,5,500,100,3,5,3,3,0.5,5,1,2,,,,,
Artistic Swimming,0.75,20,55,4,10,1000,50,7,7,3,2,2,5,2,1,,,,,
Marathon Swimming (aka open water swimming),0.75,15,35,0,10,60,100,3,7,4,2,2,2,2,1,,,Sport,Number of Movies/Documentaries,Movies/Documentaries
Swimming,0.75,30,210,0,400,20,1000,3,9,5,3,4,2,5,6,,,Water Polo,1,The Water Polo Chronicles
Canoeing,0.75,25,110,1,10,300,50,3,6,4,2,2,2,2,2,,,Ultimate Frisbee,0,N/A
Cycling,0.5,20,160,2,500,500,100,30,6,6,3,13,2,5,8,,,Gaelic Football,0,N/A
Equestrian,110,40,67,2,30,1000,50,13,4,3,2,2,3,2,2,,,Hurling,0,N/A
Golf,0.25,40,110,2,60,700,100,2,6,6,3,0.5,2,2,2,,,Beach Soccer,0,N/A
Modern Pentathlon,0.75,35,25,0,2,700,10,13,2,3,2,2,2,2,0,,,Dragon Boat Racing,0,N/A
Coastal Rowing,0.75,25,15,1,1,300,5,7,3,3,3,1,2,1,0,,,Tchoukball,0,N/A
Roque,0,10,7,2,0.1,70,5,1,2,3,3,0,2,1,0,,,Netball,0,N/A
Sailing,0.75,25,60,2,30,4000,10,2,5,4,3,1,3,2,3,,,Roller Derby,2,"Whip It, Roller Derby Girl"
Skateboarding,1,20,60,3,50,70,50,30,6,5,3,2,5,2,3,,,Baseball,10,"Field of Dreams, Moneyball, The Sandlot, A League of Their Own, Bull Durham, The Natural, The Rookie, For Love of the Game, Ken Burns: Baseball"
Surfing,0.75,25,60,2,35,500,50,13,5,5,2,1,5,3,4,,,Basketball,10,"Hoosiers, Space Jam, The Last Dance, He Got Game, Love and Basketball, Coach Carter, Above the Rim, White Men Can't Jump, The Basketball Diaries, The Air Up There"
