Criteria,Weight,Drag Racing Weight,Motocross Weight,Enduro Motorcycle Racing Weight,Water Motorsports Weight,Water Polo Weight,Ultimate Frisbee Weight,Gaelic Football Weight,Hurling Weight,Beach Soccer Weight,Dragon Boat Racing Weight,Tchoukball Weight,Netball Weight,Roller Derby Weight,Baseball Weight,Basketball Weight,Cricket Weight,Field Hockey Weight,Flag Football Weight,Football Weight,Handball Weight,Lacrosse Weight,Rugby Weight,Tug of War Weight,Volleyball Weight,Mixed Martial Arts (MMA) Weight,Kickboxing Weight,"Martial Arts (Karate, Kung Fu) Weight",Sumo Weight,Boxing Weight,Judo Weight,Karate Weight,Taekwondo Weight,Wrestling Weight,Table Football (Foosball) Weight,Billiards (Pool) Weight,Padel Weight,Pickleball Weight,Basque Pelota Weight,Diving_1 Weight,Fencing Weight,Badminton Weight,Breaking Weight,Jeu de Paume Weight,Rackets Weight,Squash Weight,Table Tennis Weight,Tennis Weight,Bowling Weight,Darts Weight,Mountain Biking Weight,"Climbing (Bouldering, Traditional Climbing) Weight",Orienteering Weight,Parkour Weight,Skeet Shooting Weight,Disc Golf Weight,Baton Twirling Weight,DanceSport (Competitive Dance) Weight,Foilboarding (Hydrofoil Surfing) Weight,Sandboarding Weight,Adventure Racing Weight,Wood Chopping Weight,Freediving Weight,Artistic Swimming Weight,Diving_2 Weight,Sprint Canoeing Weight,Marathon Swimming (aka open water swimming) Weight,Swimming Weight,Slalom Canoeing Weight,Cycling Weight,Equestrian Weight,Golf Weight,Modern Pentathlon Weight,Coastal Rowing Weight,Roque Weight,Sailing Weight,Skateboarding Weight,Surfing Weight,Triathlon Weight,Weightlifting Weight
Fatality Rate,0.187537885,0.187537885,0.187537885,0.187537885,0.187537885,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.178171583,0.172001337,0.172001337,0.172001337,0.172001337,0.172001337,0.172001337,0.172001337,0.172001337,0.172001337,0.166494858,0.166494858,0.166494858,0.166494858,0.166494858,0.166494858,0.166494858,0.166494858,0.166494858,0.166494858,0.166494858,0.166494858,0.166494858,0.166494858,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263,0.204549263
Injury Rate,0.132566174,0.132566174,0.132566174,0.132566174,0.132566174,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.11536521,0.147944577,0.147944577,0.147944577,0.147944577,0.147944577,0.147944577,0.147944577,0.147944577,0.147944577,0.126921596,0.126921596,0.126921596,0.126921596,0.126921596,0.126921596,0.126921596,0.126921596,0.126921596,0.126921596,0.126921596,0.126921596,0.126921596,0.126921596,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555,0.120767555
Number of Players,0.112985168,0.112985168,0.112985168,0.112985168,0.112985168,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.074388801,0.073383862,0.073383862,0.073383862,0.073383862,0.073383862,0.073383862,0.073383862,0.073383862,0.073383862,0.07728168,0.07728168,0.07728168,0.07728168,0.07728168,0.07728168,0.07728168,0.07728168,0.07728168,0.07728168,0.07728168,0.07728168,0.07728168,0.07728168,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737,0.082035737
Social Media Presence,0.086966149,0.086966149,0.086966149,0.086966149,0.086966149,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.116081671,0.098518697,0.098518697,0.098518697,0.098518697,0.098518697,0.098518697,0.098518697,0.098518697,0.098518697,0.110243257,0.110243257,0.110243257,0.110243257,0.110243257,0.110243257,0.110243257,0.110243257,0.110243257,0.110243257,0.110243257,0.110243257,0.110243257,0.110243257,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028,0.091679028
Movies/Documentaries,0.09108123,0.09108123,0.09108123,0.09108123,0.09108123,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034689221,0.034224331,0.034224331,0.034224331,0.034224331,0.034224331,0.034224331,0.034224331,0.034224331,0.034224331,0.032853233,0.032853233,0.032853233,0.032853233,0.032853233,0.032853233,0.032853233,0.032853233,0.032853233,0.032853233,0.032853233,0.032853233,0.032853233,0.032853233,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111,0.034531111
Accessibility (Streaming),0.079288794,0.079288794,0.079288794,0.079288794,0.079288794,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.02621598,0.025199797,0.025199797,0.025199797,0.025199797,0.025199797,0.025199797,0.025199797,0.025199797,0.025199797,0.025239126,0.025239126,0.025239126,0.025239126,0.025239126,0.025239126,0.025239126,0.025239126,0.025239126,0.025239126,0.025239126,0.025239126,0.025239126,0.025239126,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822,0.026133822
Number of Countries Playing,0.069133736,0.069133736,0.069133736,0.069133736,0.069133736,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.096941779,0.080790314,0.080790314,0.080790314,0.080790314,0.080790314,0.080790314,0.080790314,0.080790314,0.080790314,0.084422413,0.084422413,0.084422413,0.084422413,0.084422413,0.084422413,0.084422413,0.084422413,0.084422413,0.084422413,0.084422413,0.084422413,0.084422413,0.084422413,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097,0.095427097
Presence in University Sports,0.051349095,0.051349095,0.051349095,0.051349095,0.051349095,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.076577243,0.07159375,0.07159375,0.07159375,0.07159375,0.07159375,0.07159375,0.07159375,0.07159375,0.07159375,0.07557955,0.07557955,0.07557955,0.07557955,0.07557955,0.07557955,0.07557955,0.07557955,0.07557955,0.07557955,0.07557955,0.07557955,0.07557955,0.07557955,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993,0.071503993
Cost of Equipment,0.038835047,0.038835047,0.038835047,0.038835047,0.038835047,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.040777475,0.036902308,0.036902308,0.036902308,0.036902308,0.036902308,0.036902308,0.036902308,0.036902308,0.036902308,0.037873994,0.037873994,0.037873994,0.037873994,0.037873994,0.037873994,0.037873994,0.037873994,0.037873994,0.037873994,0.037873994,0.037873994,0.037873994,0.037873994,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283,0.039790283
Ratio of Players by Gender,0.03536178,0.03536178,0.03536178,0.03536178,0.03536178,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.051836167,0.05369079,0.05369079,0.05369079,0.05369079,0.05369079,0.05369079,0.05369079,0.05369079,0.05369079,0.055688903,0.055688903,0.055688903,0.055688903,0.055688903,0.055688903,0.055688903,0.055688903,0.055688903,0.055688903,0.055688903,0.055688903,0.055688903,0.055688903,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604,0.041111604
