Label,Cluster
Water Polo,3
Ultimate Frisbee,0
Gaelic Football,0
Hurling,0
Beach Soccer,3
Dragon Boat Racing,0
Tchoukball,0
Netball,0
Roller Derby,0
Baseball,1
Basketball,1
Cricket,1
Field Hockey,1
Flag football,0
Football,1
Handball,3
Lacrosse,0
Rugby,3
Tug of War,0
Volleyball,1
Mixed Martial Arts (MMA),3
Kickboxing,3
"Martial Arts (Karate, Kung Fu)",3
Sumo,3
Boxing,2
Judo,3
Karate,3
Taekwondo,3
Wrestling,3
Table Football (Foosball),0
Billiards (Pool),3
Padel,0
Pickleball,0
Basque Pelota,0
Diving,3
Fencing,3
Badminton,3
Breaking,3
Jeu de Paume,0
Rackets,0
Squash,3
Table Tennis,3
Tennis,1
Bowling,0
Darts,0
Mountain Biking,3
"Climbing (Bouldering, Traditional Climbing)",3
Orienteering,0
Parkour,0
Skeet Shooting,0
Disc Golf,0
Baton Twirling,0
DanceSport (Competitive Dance),0
Foilboarding (Hydrofoil Surfing),0
Sandboarding,0
Adventure Racing,0
Wood Chopping,0
Freediving,0
Artistic Swimming,0
Marathon Swimming (aka open water swimming),3
Swimming,1
Canoeing,3
Cycling,1
Equestrian,0
Golf,3
Modern Pentathlon,0
Coastal Rowing,0
Roque,0
Sailing,0
Skateboarding,3
Surfing,3
Triathlon,3
Weightlifting,3
"Auto Racing (e.g., Formula 1, NASCAR)",2
Drag Racing,2
Motocross,2
Enduro Motorcycle Racing,2
Water Motorsports,2
